Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source,EID
"Liu G., Lin Z., Yan S., Sun J., Yu Y., Ma Y.","Robust recovery of subspace structures by low-rank representation",2013,"IEEE Transactions on Pattern Analysis and Machine Intelligence",665,10.1109/TPAMI.2012.88,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870197517&doi=10.1109%2fTPAMI.2012.88&partnerID=40&md5=52ec1b7fa3b33d15dbf5dfa4297e57a8","In this paper, we address the subspace clustering problem. Given a set of data samples (vectors) approximately drawn from a union of multiple subspaces, our goal is to cluster the samples into their respective subspaces and remove possible outliers as well. To this end, we propose a novel objective function named Low-Rank Representation (LRR), which seeks the lowest rank representation among all the candidates that can represent the data samples as linear combinations of the bases in a given dictionary. It is shown that the convex program associated with LRR solves the subspace clustering problem in the following sense: When the data is clean, we prove that LRR exactly recovers the true subspace structures; when the data are contaminated by outliers, we prove that under certain conditions LRR can exactly recover the row space of the original data and detect the outlier as well; for data corrupted by arbitrary sparse errors, LRR can also approximately recover the row space with theoretical guarantees. Since the subspace membership is provably determined by the row space, these further imply that LRR can perform robust subspace clustering and error correction in an efficient and effective way. © 1979-2012 IEEE.","Low-rank representation; outlier detection; segmentation; subspace clustering","Convex programs; Data sample; Linear combinations; Low-rank representation; Objective functions; Outlier Detection; Subspace clustering; Clustering algorithms; Error correction; Image segmentation; Recovery; Statistics; Vectors; algorithm; article; artificial intelligence; automated pattern recognition; computer simulation; methodology; signal processing; theoretical model; Algorithms; Artificial Intelligence; Computer Simulation; Models, Theoretical; Pattern Recognition, Automated; Signal Processing, Computer-Assisted",Article,Scopus,2-s2.0-84870197517
"Elhamifar E., Vidal R.","Sparse subspace clustering: Algorithm, theory, and applications",2013,"IEEE Transactions on Pattern Analysis and Machine Intelligence",490,10.1109/TPAMI.2013.57,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884541998&doi=10.1109%2fTPAMI.2013.57&partnerID=40&md5=c2025a6c2b3569ad85a643a57b4dfc2b","Many real-world problems deal with collections of high-dimensional data, such as images, videos, text, and web documents, DNA microarray data, and more. Often, such high-dimensional data lie close to low-dimensional structures corresponding to several classes or categories to which the data belong. In this paper, we propose and study an algorithm, called sparse subspace clustering, to cluster data points that lie in a union of low-dimensional subspaces. The key idea is that, among the infinitely many possible representations of a data point in terms of other points, a sparse representation corresponds to selecting a few points from the same subspace. This motivates solving a sparse optimization program whose solution is used in a spectral clustering framework to infer the clustering of the data into subspaces. Since solving the sparse optimization program is in general NP-hard, we consider a convex relaxation and show that, under appropriate conditions on the arrangement of the subspaces and the distribution of the data, the proposed minimization program succeeds in recovering the desired sparse representations. The proposed algorithm is efficient and can handle data points near the intersections of subspaces. Another key advantage of the proposed algorithm with respect to the state of the art is that it can deal directly with data nuisances, such as noise, sparse outlying entries, and missing entries, by incorporating the model of the data into the sparse optimization program. We demonstrate the effectiveness of the proposed algorithm through experiments on synthetic data as well as the two real-world problems of motion segmentation and face clustering. © 1979-2012 IEEE.","(ℓ1)-minimization; clustering; convex programming; face clustering; High-dimensional data; intrinsic low-dimensionality; motion segmentation; principal angles; sparse representation; spectral clustering; subspaces","clustering; Face clustering; High dimensional data; Low dimensionality; Motion segmentation; Principal angles; Sparse representation; Spectral clustering; subspaces; Convex programming; Optimization; Relaxation processes; Clustering algorithms; algorithm; anatomy and histology; artificial intelligence; automated pattern recognition; biometry; computer assisted diagnosis; face; human; procedures; sample size; article; automated pattern recognition; biometry; computer assisted diagnosis; face; histology; methodology; Algorithms; Artificial Intelligence; Biometry; Face; Humans; Image Interpretation, Computer-Assisted; Pattern Recognition, Automated; Sample Size; Algorithms; Artificial Intelligence; Biometry; Face; Humans; Image Interpretation, Computer-Assisted; Pattern Recognition, Automated; Sample Size",Article,Scopus,2-s2.0-84884541998
"Kosinski M., Stillwell D., Graepel T.","Private traits and attributes are predictable from digital records of human behavior",2013,"Proceedings of the National Academy of Sciences of the United States of America",434,10.1073/pnas.1218772110,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876061994&doi=10.1073%2fpnas.1218772110&partnerID=40&md5=bf2a7e6dde703f281ac3fbc04f24310e","We show that easily accessible digital records of behavior, Facebook Likes, can be used to automatically and accurately predict a range of highly sensitive personal attributes including: sexual orientation, ethnicity, religious and political views, personality traits, intelligence, happiness, use of addictive substances, parental separation, age, and gender. The analysis presented is based on a dataset of over 58,000 volunteers who provided their Facebook Likes, detailed demographic profiles, and the results of several psychometric tests. The proposed model uses dimensionality reduction for preprocessing the Likes data, which are then entered into logistic/linear regression to predict individual psychodemographic profiles from Likes. The model correctly discriminates between homosexual and heterosexual men in 88% of cases, African Americans and Caucasian Americans in 95% of cases, and between Democrat and Republican in 85% of cases. For the personality trait ""Openness,"" prediction accuracy is close to the test-retest accuracy of a standard personality test. We give examples of associations between attributes and Likes and discuss implications for online personalization and privacy.","Big data; Computational social science; Data mining; Machine learning; Psychological assessment; Social networks","accuracy; adult; article; behavior; character; demography; drug dependence; ethnicity; female; happiness; heterosexuality; homosexuality; human; intelligence; major clinical study; male; online analysis; personality; personality test; politics; prediction; priority journal; privacy; psychometry; religion; sexuality; test retest reliability; Artificial Intelligence; Behavior; Data Mining; Emotions; Female; Heterosexuality; Homosexuality; Humans; Male; Models, Theoretical; Personality; Personality Inventory; Politics; Psychometrics; Regression Analysis; Reproducibility of Results; Social Support",Article,Scopus,2-s2.0-84876061994
"Mostaghim S., Teich J.","Strategies for finding good local guides in multi-objective particle swarm optimization (MOPSO)",2013,"2003 IEEE Swarm Intelligence Symposium, SIS 2003 - Proceedings",431,10.1109/SIS.2003.1202243,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942162725&doi=10.1109%2fSIS.2003.1202243&partnerID=40&md5=a1fea9cc7937415fa7ac1558ceb10a03","In multi-objective particle swarm optimization (MOPSO) methods, selecting the best local guide (the global best particle) for each particle of the population from a set of Pareto-optimal solutions has a great impact on the convergence and diversity of solutions, especially when optimizing problems with high number of objectives. This paper introduces the Sigma method as a new method for finding best local guides for each particle of the population. The Sigma method is implemented and is compared with another method, which uses the strategy of an existing MOPSO method for finding the local guides. These methods are examined for different test functions and the results are compared with the results of a multi-objective evolutionary algorithm (MOEA). © 2003 IEEE.","Computational modeling; Evolutionary computation; Iterative methods; Optimization methods; Particle swarm optimization; Search methods; Stochastic processes; Testing","Artificial intelligence; Evolutionary algorithms; Iterative methods; Pareto principle; Particle swarm optimization (PSO); Random processes; Stochastic systems; Testing; Computational model; Diversity of solutions; Multi objective evolutionary algorithms; Multi objective particle swarm optimization; Optimization method; Pareto optimal solutions; Search method; Test functions; Multiobjective optimization",Conference Paper,Scopus,2-s2.0-84942162725
"Higashi N., Iba H.","Particle swarm optimization with Gaussian mutation",2013,"2003 IEEE Swarm Intelligence Symposium, SIS 2003 - Proceedings",391,10.1109/SIS.2003.1202250,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942114552&doi=10.1109%2fSIS.2003.1202250&partnerID=40&md5=93ef01a785918c47348439a7df5ebd10","In this paper we present particle swarm optimization with Gaussian mutation combining the idea of the particle swarm with concepts from evolutionary algorithms. This method combines the traditional velocity and position update rules with the ideas of Gaussian mutation. This model is tested and compared with the standard PSO and standard GA. The comparative experiments have been conducted on unimodal functions and multimodal functions. PSO with Gaussian mutation is able to obtain a result superior to GA. We also apply the PSO with Gaussian mutation to a gene network. Consequently, it has succeeded in acquiring better results than those by GA and PSO alone. © 2003 IEEE.","Biological system modeling; Birds; Evolutionary computation; Genetic mutations; Genetic programming; Particle swarm optimization; Simulated annealing; Testing","Artificial intelligence; Biological systems; Birds; Evolutionary algorithms; Gaussian distribution; Genetic algorithms; Genetic programming; Simulated annealing; Testing; Biological system modeling; Comparative experiments; Gaussian mutation; Genetic mutations; Multi modal function; Particle swarm; Position updates; Unimodal functions; Particle swarm optimization (PSO)",Conference Paper,Scopus,2-s2.0-84942114552
"Kennedy J.","Bare bones particle swarms",2013,"2003 IEEE Swarm Intelligence Symposium, SIS 2003 - Proceedings",371,10.1109/SIS.2003.1202251,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942163347&doi=10.1109%2fSIS.2003.1202251&partnerID=40&md5=ca9fed3d86cf1d3aa72ad76835170e54","The particle swarm algorithm has just enough moving parts to make it hard to understand. The formula is very simple, it is even easy to describe the working of the algorithm verbally, yet it is very difficult to grasp in one's mind how the particles oscillate around centers that are constantly changing; how they influence one another; how the various parameters affect the trajectory of the particle; how the topology of the swarm affects its performance; and so on. This paper strips away some traditional features of the particle swarm in the search for the properties that make it work. The particle swarm algorithm is modified by eliminating the velocity formula. Variations are compared. In the process some of the mysteries of the algorithm are revealed, we discover its similarity to other stochastic population-based problem solving methods, and new avenues of investigation are suggested or implied. © 2003 IEEE.","Bones; Lattices; Particle swarm optimization; Performance evaluation; Problem-solving; Statistics; Stochastic processes; Strips; Testing; Topology","Artificial intelligence; Bone; Crystal lattices; Particle swarm optimization (PSO); Problem solving; Random processes; Statistics; Stochastic systems; Testing; Topology; Moving parts; Particle swarm; Particle swarm algorithm; Performance evaluation; Problem Solving methods; Stochastic population; Strips; Algorithms",Conference Paper,Scopus,2-s2.0-84942163347
"Peram T., Veeramachaneni K., Mohan C.K.","Fitness-distance-ratio based particle swarm optimization",2013,"2003 IEEE Swarm Intelligence Symposium, SIS 2003 - Proceedings",315,10.1109/SIS.2003.1202264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942155292&doi=10.1109%2fSIS.2003.1202264&partnerID=40&md5=beb07ee71bf00c7a44cf42c0d0f455e2","This paper presents a modification of the particle swarm optimization algorithm (PSO) intended to combat the problem of premature convergence observed in many applications of PSO. The proposed new algorithm moves particles towards nearby particles of higher fitness, instead of attracting each particle towards just the best position discovered so far by any particle. This is accomplished by using the ratio of the relative fitness and the distance of other particles to determine the direction in which each component of the particle position needs to be changed. The resulting algorithm (FDR-PSO) is shown to perform significantly better than the original PSO algorithm and some of its variants, on many different benchmark optimization problems. Empirical examination of the evolution of the particles demonstrates that the convergence of the algorithm does not occur at an early phase of particle evolution, unlike PSO. Avoiding premature convergence allows FDR-PSO to continue search for global optima in difficult multimodal optimization problems. © 2003 IEEE.","Animals; Application software; Cognition; Computer science; Convergence; Evolutionary computation; Particle swarm optimization; Performance analysis; Power engineering and energy; Problem-solving","Algorithms; Animals; Application programs; Artificial intelligence; Computer science; Evolutionary algorithms; Health; Optimization; Problem solving; Application softwares; Cognition; Convergence; Performance analysis; Power engineering and energies; Particle swarm optimization (PSO)",Conference Paper,Scopus,2-s2.0-84942155292
"Cambria E., Schuller B., Xia Y., Havasi C.","New avenues in opinion mining and sentiment analysis",2013,"IEEE Intelligent Systems",286,10.1109/MIS.2013.30,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880219830&doi=10.1109%2fMIS.2013.30&partnerID=40&md5=26b7053580403fbbc6c66037611c4a4a","The distillation of knowledge from the Web&mdash;also known as opinion mining and sentiment analysis&mdash;is a task that has recently raised growing interest for purposes such as customer service, predicting financial markets, monitoring public security, investigating elections, and measuring a health-related quality of life. This article considers past, present, and future trends of sentiment analysis by delving into the evolution of different tools and techniques&mdash;from heuristics to discourse structure, from coarse- to fine-grained analysis, and from keyword- to concept-level opinion mining. © 2001-2011 IEEE.","AI; intelligent systems; NLP; opinion mining; sentiment analysis","Customer services; Discourse structure; Fine-grained analysis; Health-related quality of lives; NLP; Opinion mining; Sentiment analysis; Tools and techniques; Artificial intelligence; Distillation; Intelligent systems; Data mining",Article,Scopus,2-s2.0-84880219830
"Hu X., Eberhart R.C., Shi Y.","Engineering optimization with particle swarm",2013,"2003 IEEE Swarm Intelligence Symposium, SIS 2003 - Proceedings",257,10.1109/SIS.2003.1202247,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942081912&doi=10.1109%2fSIS.2003.1202247&partnerID=40&md5=fb956da2182a17b07b3d6ac28e746519","The paper presents a modified particle swarm optimization (PSO) algorithm for engineering optimization problems with constraints. PSO is started with a group of feasible solutions and a feasibility function is used to check if the newly explored solutions satisfy all the constraints. All the particles keep only those feasible solutions in their memory. Several engineering design optimization problems were tested and the results show that PSO is an efficient and general approach to solve most nonlinear optimization problems with inequity constraints. © 2003 IEEE.","Biomedical engineering; Constraint optimization; Design engineering; Design optimization; Equations; Evolutionary computation; Particle swarm optimization; Power line communications; Stochastic processes; Testing","Algorithms; Artificial intelligence; Biomedical engineering; Constrained optimization; Evolutionary algorithms; Nonlinear programming; Optimization; Random processes; Stochastic systems; Testing; Constraint optimizations; Design Engineering; Design optimization; Equations; Power line communications; Particle swarm optimization (PSO)",Conference Paper,Scopus,2-s2.0-84942081912
"Garg S., Gentry C., Halevi S.","Candidate multilinear maps from ideal lattices",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",241,10.1007/978-3-642-38348-9_1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879875394&doi=10.1007%2f978-3-642-38348-9_1&partnerID=40&md5=6c8f761966236063f0155040832bbbcf","We describe plausible lattice-based constructions with properties that approximate the sought-after multilinear maps in hard-discrete-logarithm groups, and show an example application of such multi-linear maps that can be realized using our approximation. The security of our constructions relies on seemingly hard problems in ideal lattices, which can be viewed as extensions of the assumed hardness of the NTRU function. © 2013 International Association for Cryptologic Research.",,"Hard problems; Lattice-based; Multilinear maps; Artificial intelligence; Computer science; Cryptography",Conference Paper,Scopus,2-s2.0-84879875394
